"","churn_decision","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges"
"1","No","Female","No","Yes","No",1,"No","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",29.85,29.85
"2","No","Male","No","No","No",34,"Yes","No","DSL","Yes","No","Yes","No","No","No","One year","No","Mailed check",56.95,1889.5
"3","Yes","Male","No","No","No",2,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",53.85,108.15
"4","No","Male","No","No","No",45,"No","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Bank transfer (automatic)",42.3,1840.75
"5","Yes","Female","No","No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.7,151.65
"6","Yes","Female","No","No","No",8,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.65,820.5
"7","No","Male","No","No","Yes",22,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",89.1,1949.4
"8","No","Female","No","No","No",10,"No","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",29.75,301.9
"9","Yes","Female","No","Yes","No",28,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.8,3046.05
"10","No","Male","No","No","Yes",62,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)",56.15,3487.95
"11","No","Male","No","Yes","Yes",13,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",49.95,587.45
"12","No","Male","No","No","No",16,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",18.95,326.8
"13","No","Male","No","Yes","No",58,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",100.35,5681.1
"14","Yes","Male","No","No","No",49,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.7,5036.3
"15","No","Male","No","No","No",25,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",105.5,2686.05
"16","No","Female","No","Yes","Yes",69,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",113.25,7895.15
"17","No","Female","No","No","No",52,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.65,1022.95
"18","No","Male","No","No","Yes",71,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",106.7,7382.25
"19","Yes","Female","No","Yes","Yes",10,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",55.2,528.35
"20","No","Female","No","No","No",21,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",90.05,1862.9
"21","Yes","Male","Yes","No","No",1,"No","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",39.65,39.65
"22","No","Male","No","Yes","No",12,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.8,202.25
